"name","part","address","register_bits","argument_bits","rw"
"MONO",,"0x2800","15",,"w"
"MEM8MB",,"0x2800","9",,"w"
"DAC18B",,"0x2800","8",,"w"
"VER",,"0x2800","7-4",,"r"
"MVOL",,"0x2800","3-0",,"w"
"TESTB0",,"0x2804","15",,
"RBL",,"0x2804","14-13",,"w"
"RBP",,"0x2804","11-0","22-11","w"
"MOFUL",,"0x2808","12",,"r"
"MOEMP",,"0x2808","11",,"r"
"MIOVF",,"0x2808","10",,"r"
"MIFUL",,"0x2808","9",,"r"
"MIEMP",,"0x2808","8",,"r"
"MIBUF",,"0x2808","7-0",,"r"
"AFSEL",,"0x280c","14",,"w"
"MSLC",,"0x280c","13-8",,"w"
"MOBUF",,"0x280c","7-0",,"w"
"LP",,"0x2810","15",,"r"
"SGC",,"0x2810","14",,"r"
"EG",,"0x2810","12-0",,"r"
"CA",,"0x2814","15-0",,"r"
"DMEA","0","0x2880","15-9","22-16","w"
"TSCD",,"0x2880","7-5",,
"T",,"0x2880","4",,
"MRWINH",,"0x2880","3-0",,"w"
"DMEA","1","0x2884","15-2","15-2","w"
"DGATE",,"0x2888","15",,"rw"
"DRGA",,"0x2888","14-2","14-2","w"
"DDIR",,"0x288c","15",,"rw"
"DLG",,"0x288c","14-2","14-2","w"
"DEXE",,"0x288c","0",,"rw"
"TACTL",,"0x2890","10-8",,"w"
"TIMA",,"0x2890","7-0",,"w"
"TBCTL",,"0x2894","10-8",,"w"
"TIMB",,"0x2894","7-0",,"w"
"TCCTL",,"0x2898","10-8",,"w"
"TIMC",,"0x2898","7-0",,"w"
"SCIEB",,"0x289c","10-0",,"rw"
"SCIPD",,"0x28a0","10-0",,"rw"
"SCIRE",,"0x28a4","10-0",,"w"
"SCILV0",,"0x28a8","7-0",,"w"
"SCILV1",,"0x28ac","7-0",,"w"
"SCILV2",,"0x28b0","7-0",,"w"
"MCIEB",,"0x28b4","10-0",,"rw"
"MCIPD",,"0x28b8","10-0",,"rw"
"MCIRE",,"0x28bc","10-0",,"w"
"VREG",,"0x2c00","9-8",,"rw"
"ARMRST",,"0x2c00","0",,"rw"
"L7",,"0x2d00","7",,"r"
"L6",,"0x2d00","6",,"r"
"L5",,"0x2d00","5",,"r"
"L4",,"0x2d00","4",,"r"
"L3",,"0x2d00","3",,"r"
"L2",,"0x2d00","2",,"r"
"L1",,"0x2d00","1",,"r"
"L0",,"0x2d00","0",,"r"
"RP",,"0x2d04","8",,"w"
"M7",,"0x2d04","7",,"w"
"M6",,"0x2d04","6",,"w"
"M5",,"0x2d04","5",,"w"
"M4",,"0x2d04","4",,"w"
"M3",,"0x2d04","3",,"w"
"M2",,"0x2d04","2",,"w"
"M1",,"0x2d04","1",,"w"
"M0",,"0x2d04","0",,"w"
