"register_name","enum_name","bits","bit_name","value","mask","description"
"host_instruction",,31,"end_flag",1,,
,,,,,,
"host_instruction","port_select","17-16","a",0,,
"host_instruction","port_select","17-16","b",1,,
"host_instruction","port_select","17-16","c",2,,
"host_instruction","port_select","17-16","d",3,,
,,,,,,
"host_instruction","pattern","10-8","normal","0b000",,
"host_instruction","pattern","10-8","light_gun_mode","0b010",,
"host_instruction","pattern","10-8","reset","0b011",,
"host_instruction","pattern","10-8","return_from_light_gun_mode","0b100",,
"host_instruction","pattern","10-8","nop","0b111",,
,,,,,,
"host_instruction",,"7-0","transfer_length",,"0xff",
,,,,,,
"receive_data_storage_address",,"31-0","address",,"0x1fff_ffff",
,,,,,,
"ap","port_select","7-6","a","0b00",,
"ap","port_select","7-6","b","0b01",,
"ap","port_select","7-6","c","0b10",,
"ap","port_select","7-6","d","0b11",,
,,,,,,
"ap","de",5,"device",1,,
"ap","de",5,"expansion_device",0,,
"ap","de",5,"port",0,,
,,,,,,
"ap","lm_bus","4-0","_4","0b10000",,
"ap","lm_bus","4-0","_3","0b01000",,
"ap","lm_bus","4-0","_2","0b00100",,
"ap","lm_bus","4-0","_1","0b00010",,
"ap","lm_bus","4-0","_0","0b00001",,
,,,,,,
"function_type",,11,"camera",1,,
"function_type",,10,"exchange_media",1,,
"function_type",,9,"pointing",1,,
"function_type",,8,"vibration",1,,
"function_type",,7,"light_gun",1,,
"function_type",,6,"keyboard",1,,
"function_type",,5,"ar_gun",1,,
"function_type",,4,"audio_input",1,,
"function_type",,3,"timer",1,,
"function_type",,2,"bw_lcd",1,,
"function_type",,1,"storage",1,,
"function_type",,0,"controller",1,,
