"get_media_info_data_transfer",7,6,5,4,3,2,1,0
"total_size",,,,,,,,
"total_size",,,,,,,,
"partition_number",,,,,,,,
"partition_number",,,,,,,,
"system_area_block_number",,,,,,,,
"system_area_block_number",,,,,,,,
"fat_area_block_number",,,,,,,,
"fat_area_block_number",,,,,,,,
"number_of_fat_area_blocks",,,,,,,,
"number_of_fat_area_blocks",,,,,,,,
"file_information_block_number",,,,,,,,
"file_information_block_number",,,,,,,,
"number_of_file_information_blocks",,,,,,,,
"number_of_file_information_blocks",,,,,,,,
"volume_icon",,,,,,,,
"volume_icon",,,,,,,,
"save_area_block_number",,,,,,,,
"save_area_block_number",,,,,,,,
"number_of_save_area_blocks",,,,,,,,
"number_of_save_area_blocks",,,,,,,,
"reserved_for_execution_file",,,,,,,,
"reserved_for_execution_file",,,,,,,,
"reserved_for_execution_file",,,,,,,,
"reserved_for_execution_file",,,,,,,,
,,,,,,,,
"block_read_data_transfer",7,6,5,4,3,2,1,0
"pt",,,,,,,,
"phase",,,,,,,,
"block_number",,,,,,,,
"block_number",,,,,,,,
"block_data<0>",,,,,,,,
