"polygon_type_0",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10",
"0x14",
"0x18","base_color"
"0x1c",
,
"polygon_type_1",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","base_color_alpha"
"0x14","base_color_r"
"0x18","base_color_g"
"0x1c","base_color_b"
,
"polygon_type_2",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10",
"0x14",
"0x18","base_intensity"
"0x1c",
,
"polygon_type_3",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u"
"0x14","v"
"0x18","base_color"
"0x1c","offset_color"
,
"polygon_type_4",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_v"
"0x14",
"0x18","base_color"
"0x1c","offset_color"
,
"polygon_type_5",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u"
"0x14","v"
"0x18",
"0x1c",
"0x20","base_color_alpha"
"0x24","base_color_r"
"0x28","base_color_g"
"0x2c","base_color_b"
"0x30","offset_color_alpha"
"0x34","offset_color_r"
"0x38","offset_color_g"
"0x3c","offset_color_b"
,
"polygon_type_6",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_v"
"0x14",
"0x18",
"0x1c",
"0x20","base_color_alpha"
"0x24","base_color_r"
"0x28","base_color_g"
"0x2c","base_color_b"
"0x30","offset_color_alpha"
"0x34","offset_color_r"
"0x38","offset_color_g"
"0x3c","offset_color_b"
,
"polygon_type_7",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u"
"0x14","v"
"0x18","base_intensity"
"0x1c","offset_intensity"
,
"polygon_type_8",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_v"
"0x14",
"0x18","base_intensity"
"0x1c","offset_intensity"
,
"polygon_type_9",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","base_color_0"
"0x14","base_color_1"
"0x18",
"0x1c",
,
"polygon_type_10",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","base_intensity_0"
"0x14","base_intensity_1"
"0x18",
"0x1c",
,
"polygon_type_11",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_0"
"0x14","v_0"
"0x18","base_color_0"
"0x1c","offset_color_0"
"0x20","u_1"
"0x24","v_1"
"0x28","base_color_1"
"0x2c","offset_color_1"
"0x30",
"0x34",
"0x38",
"0x3c",
,
"polygon_type_12",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_v_0"
"0x14",
"0x18","base_color_0"
"0x1c","offset_color_0"
"0x20","u_v_1"
"0x24",
"0x28","base_color_1"
"0x2c","offset_color_1"
"0x30",
"0x34",
"0x38",
"0x3c",
,
"polygon_type_13",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_0"
"0x14","v_0"
"0x18","base_intensity_0"
"0x1c","offset_intensity_0"
"0x20","u_1"
"0x24","v_1"
"0x28","base_intensity_1"
"0x2c","offset_intensity_1"
"0x30",
"0x34",
"0x38",
"0x3c",
,
"polygon_type_14",
"0x00","parameter_control_word"
"0x04","x"
"0x08","y"
"0x0c","z"
"0x10","u_v_0"
"0x14",
"0x18","base_intensity_0"
"0x1c","offset_intensity_0"
"0x20","u_v_1"
"0x24",
"0x28","base_intensity_1"
"0x2c","offset_intensity_1"
"0x30",
"0x34",
"0x38",
"0x3c",
,
"sprite_type_0",
"0x00","parameter_control_word"
"0x04","a_x"
"0x08","a_y"
"0x0c","a_z"
"0x10","b_x"
"0x14","b_y"
"0x18","b_z"
"0x1c","c_x"
"0x20","c_y"
"0x24","c_z"
"0x28","d_x"
"0x2c","d_y"
"0x30",
"0x34",
"0x38",
"0x3c",
,
"sprite_type_1",
"0x00","parameter_control_word"
"0x04","a_x"
"0x08","a_y"
"0x0c","a_z"
"0x10","b_x"
"0x14","b_y"
"0x18","b_z"
"0x1c","c_x"
"0x20","c_y"
"0x24","c_z"
"0x28","d_x"
"0x2c","d_y"
"0x30",
"0x34","a_u_a_v"
"0x38","b_u_b_v"
"0x3c","c_u_c_v"
,
"modifier_volume",
"0x00","parameter_control_word"
"0x04","a_x"
"0x08","a_y"
"0x0c","a_z"
"0x10","b_x"
"0x14","b_y"
"0x18","b_z"
"0x1c","c_x"
"0x20","c_y"
"0x24","c_z"
"0x28",
"0x2c",
"0x30",
"0x34",
"0x38",
"0x3c",
