,,"VGA","NTSC_NI","NTSC_I","PAL_NI","PAL_I"
"FB_R_CTRL","vclk_div","1",0,0,0,0
"SPG_LOAD","vcount","20c",106,"20c",138,270
,"hcount","359","359","359","35f","35f"
"SPG_HBLANK","hbend","07e","07e","07e","08d","08d"
,"hbstart","345","345",345,"34b","34b"
"SPG_VBLANK","vbend","028","012","024","016","02c"
,"vbstart","208","102","204","134","26c"
"SPG_WIDTH","eqwidth","00f","00f","01f","0f","01f"
,"bpwidth","319","319","16c","31f","16a"
,"vswidth","3","3","6","3","5"
,"hswidth","3f","3f","3f","3f","3f"
"SPG_CONTROL","sync_direction","1","1","1","1","1"
,"pal","0","0","0","1","1"
,"ntsc","0","1","1","0","0"
,"interlace","0","0","1","0","1"
"VO_STARTX","horizontal_start_position","0a8","0a4","0a4","0ae","0ae"
"VO_STARTY","vertical_start_position_on_field_2","028","012","012","02e","02e"
,"vertical_start_position_on_field_1","028","011","012","02e","02d"
"VO_CONTROL","pclk_delay","16","16","16","16","16"
,"pixel_double","0","1","1","1","1"
"SPG_HBLANK_INT","line_comp_val","345","345","345","34b","34b"
"SPG_VBLANK_INT","vblank_out_interrupt_line_number","015","015","015","015","015"
,"vblank_in_interrupt_line_number","208","102","102","134","134"
